path	family	status	lines	description
transposition/columnar/agent_k4_columnar7_nonen_scan.py	Columnar transposition attacks	unknown	387	agent_k4_columnar7_nonen_scan.py
_uncategorized/agent_k4_keystream_language_scan.py	Uncategorized — needs manual review	unknown	497	agent_k4_keystream_language_scan.py
blitz/blitz_8lines73.py	Blitz campaign — fast brute-force sweeps	unknown	1649	blitz_8lines73.py — Exhaustive test of "8 Lines 73" interpretations for K4.
blitz/blitz_affine_search.py	Blitz campaign — fast brute-force sweeps	unknown	870	blitz_affine_search.py — Exhaustive Affine & Power Permutation Search for K4
blitz/blitz_concealment.py	Blitz campaign — fast brute-force sweeps	unknown	964	blitz_concealment.py — Test concealment/stego pre-processing models for K4.
blitz/blitz_constraint_solver.py	Blitz campaign — fast brute-force sweeps	unknown	529	blitz_constraint_solver.py — Constraint-based K4 permutation search.
blitz/blitz_constraint_solver_v2.py	Blitz campaign — fast brute-force sweeps	unknown	902	blitz_constraint_solver_v2.py — Model 2 Constraint-Based K4 Search
blitz/blitz_coordinates_key.py	Blitz campaign — fast brute-force sweeps	unknown	1264	blitz_coordinates_key.py — K2 coordinates as numerical key material for K4.
blitz/blitz_csp_focused.py	Blitz campaign — fast brute-force sweeps	unknown	447	blitz_csp_focused.py — Deep CSP analysis for all 18 multiset-feasible configs.
grille/blitz_csp_grille_structural.py	Grille, turning grille, and Cardan aperture attacks	unknown	648	CSP + Structural Analysis: Find the unique permutation by combining
grille/blitz_grille_geometry.py	Grille, turning grille, and Cardan aperture attacks	unknown	671	Blitz Grille Geometry — comprehensive approach to Cardan grille permutation extraction.
grille/blitz_grille_geometry_v2.py	Grille, turning grille, and Cardan aperture attacks	unknown	872	Grille Geometry v2 — targeted follow-up with new approaches.
grille/blitz_grille_geometry_v3.py	Grille, turning grille, and Cardan aperture attacks	unknown	599	Grille Geometry v3 — targeted approaches based on v1/v2 null results.
grille/blitz_grille_geometry_v4.py	Grille, turning grille, and Cardan aperture attacks	unknown	526	Grille Geometry v4 — fast critical approaches:
grille/blitz_grille_geometry_v5.py	Grille, turning grille, and Cardan aperture attacks	unknown	1161	(no description)
grille/blitz_grille_geometry_v6.py	Grille, turning grille, and Cardan aperture attacks	unknown	1052	Blitz Grille Geometry v6 — Genuinely new approaches NOT covered in v1-v5.
grille/blitz_grille_geometry_v7.py	Grille, turning grille, and Cardan aperture attacks	unknown	999	(no description)
grille/blitz_grille_geometry_v8.py	Grille, turning grille, and Cardan aperture attacks	unknown	1038	(no description)
grille/blitz_grille_geometry_v9.py	Grille, turning grille, and Cardan aperture attacks	unknown	730	(no description)
grille/blitz_grille_mask.py	Grille, turning grille, and Cardan aperture attacks	unknown	1347	blitz_grille_mask.py — Systematic Cardan Grille Mask Construction
blitz/blitz_instruction_decoder.py	Blitz campaign — fast brute-force sweeps	unknown	1828	blitz_instruction_decoder.py
grille/blitz_k3_grille_v2.py	Grille, turning grille, and Cardan aperture attacks	unknown	751	blitz_k3_grille_v2.py — K3 confirmed pure transposition; extend to K4.
grille/blitz_k3_grille_v3.py	Grille, turning grille, and Cardan aperture attacks	unknown	738	blitz_k3_grille_v3.py — Targeted K4 permutation search.
grille/blitz_k3_grille_v4.py	Grille, turning grille, and Cardan aperture attacks	unknown	625	blitz_k3_grille_v4.py — CSP with YWT crib + correct K3-style formula search.
grille/blitz_k3_grille_v5.py	Grille, turning grille, and Cardan aperture attacks	unknown	508	blitz_k3_grille_v5.py — Fix pure-transposition impossibility; search Model 2 + generalised K3 formula.
grille/blitz_k3_grille_v5b.py	Grille, turning grille, and Cardan aperture attacks	unknown	483	blitz_k3_grille_v5b.py — Fix v5 assertion bug; run sections 3-5 cleanly.
grille/blitz_k3_grille_verify.py	Grille, turning grille, and Cardan aperture attacks	unknown	898	blitz_k3_grille_verify.py  (REVISED 2026-03-04)
blitz/blitz_ka_cycle_grille.py	Blitz campaign — fast brute-force sweeps	unknown	475	blitz_ka_cycle_grille.py
blitz/blitz_model2_novel.py	Blitz campaign — fast brute-force sweeps	unknown	870	(no description)
blitz/blitz_numeric_permuter.py	Blitz campaign — fast brute-force sweeps	unknown	1066	BLITZ: Numeric Permuter — derives 97-char permutations from the Cardan grille extract.
blitz/blitz_numeric_permuter2.py	Blitz campaign — fast brute-force sweeps	unknown	1109	BLITZ Wave 2: Numeric Permuter — advanced approaches
blitz/blitz_numeric_permuter3.py	Blitz campaign — fast brute-force sweeps	unknown	547	BLITZ Wave 3: Geometric Rectangle Analysis + Targeted Permutations
blitz/blitz_numeric_permuter4.py	Blitz campaign — fast brute-force sweeps	unknown	651	BLITZ Wave 4: Targeted Approaches
blitz/blitz_numeric_permuter5.py	Blitz campaign — fast brute-force sweeps	unknown	1239	BLITZ Wave 5: Novel Permutation Derivation — Approaches Not Tried in Waves 1–4
blitz/blitz_plaintext_archaeology.py	Blitz campaign — fast brute-force sweeps	unknown	1365	blitz_plaintext_archaeology.py — Mining K1-K3 plaintext for K4 method instructions.
blitz/blitz_plaintext_archaeology2.py	Blitz campaign — fast brute-force sweeps	unknown	855	blitz_plaintext_archaeology2.py — Deep dive on the most promising K1-K3 instruction models.
blitz/blitz_rotation_180.py	Blitz campaign — fast brute-force sweeps	unknown	1538	blitz_rotation_180.py — EXTENDED 180° Cardan Grille Analysis (2026-03-04)
blitz/blitz_step4_k4.py	Blitz campaign — fast brute-force sweeps	unknown	387	(no description)
transposition/other/blitz_strip_cipher.py	Non-columnar transposition attacks	unknown	1423	blitz_strip_cipher.py — Strip cipher / simultaneous sub+trans model for K4.
transposition/other/blitz_strip_cipher_v2.py	Non-columnar transposition attacks	unknown	1001	blitz_strip_cipher_v2.py — Deeper strip cipher models for K4.
transposition/other/blitz_strip_keyfind.py	Non-columnar transposition attacks	unknown	521	(no description)
transposition/other/blitz_strip_perm.py	Non-columnar transposition attacks	unknown	517	(no description)
transposition/other/blitz_strip_route.py	Non-columnar transposition attacks	unknown	796	scripts/blitz_strip_route.py
transposition/other/blitz_strip_route_fast.py	Non-columnar transposition attacks	unknown	344	scripts/blitz_strip_route_fast.py
blitz/blitz_t_final.py	Blitz campaign — fast brute-force sweeps	unknown	735	blitz_t_final.py — Final T-position approaches with CORRECT alphabet-bounds check.
blitz/blitz_t_position.py	Blitz campaign — fast brute-force sweeps	unknown	992	blitz_t_position.py — Exhaustive T-position exploitation for K4 unscrambling.
blitz/blitz_t_position_corrected.py	Blitz campaign — fast brute-force sweeps	unknown	699	blitz_t_position_corrected.py — T-position exploitation with CORRECTED T-column formula.
blitz/blitz_t_position_extended.py	Blitz campaign — fast brute-force sweeps	unknown	758	blitz_t_position_extended.py — Deep dive on T-diagonal paradox + extended approaches.
blitz/blitz_t_position_v2.py	Blitz campaign — fast brute-force sweeps	unknown	984	blitz_t_position_v2.py — Fresh T-position exploitation using verified mask.
blitz/blitz_t_targeted.py	Blitz campaign — fast brute-force sweeps	unknown	580	blitz_t_targeted.py — Targeted novel T-position approaches.
tableau/blitz_tableau_matching.py	Tableau, KA alphabet, and keyword analysis	unknown	540	blitz_tableau_matching.py — Cipher-Tableau Match Analysis for 28×31 Kryptos Grid
tableau/blitz_tableau_matching2.py	Tableau, KA alphabet, and keyword analysis	unknown	659	blitz_tableau_matching2.py — Deep Grille Constraint Analysis
tableau/blitz_tableau_matching3.py	Tableau, KA alphabet, and keyword analysis	unknown	421	blitz_tableau_matching3.py — Targeted Deep Analysis
tableau/blitz_tableau_structural.py	Tableau, KA alphabet, and keyword analysis	unknown	809	blitz_tableau_structural.py
blitz/blitz_variable_cribs.py	Blitz campaign — fast brute-force sweeps	unknown	454	blitz_variable_cribs.py — Affine permutation search with variable crib positions
blitz/blitz_wildcard.py	Blitz campaign — fast brute-force sweeps	unknown	1067	blitz_wildcard.py — Lateral & creative permutation approaches for K4 Model 2.
blitz/blitz_wildcard2.py	Blitz campaign — fast brute-force sweeps	unknown	1135	blitz_wildcard2.py — Deep Dive Approaches (Part 2)
blitz/blitz_wildcard_grille.py	Blitz campaign — fast brute-force sweeps	unknown	1179	blitz_wildcard_grille.py — Novel Cardan Grille Approaches for K4 (2026-03-04)
blitz/blitz_yar_selective.py	Blitz campaign — fast brute-force sweeps	unknown	833	blitz_yar_selective.py — Test the YAR Selective Substitution Theory for K4.
_infra/build_experiment_ledger.py	Infrastructure, harnesses, validators, corpus tools	unknown	685	Build the canonical experiment ledger from all available sources.
statistical/card_cipher_stats.py	Statistical analysis, frequency, IC, entropy	unknown	834	Card-cipher statistical analysis of K4 ciphertext.
_infra/corpus_scanner.py	Infrastructure, harnesses, validators, corpus tools	unknown	692	Gutenberg Corpus Running-Key Scanner for Kryptos K4.
_infra/corpus_scanner_wave2.py	Infrastructure, harnesses, validators, corpus tools	unknown	417	Gutenberg Corpus Running-Key Scanner — Wave 2 (Expanded).
_uncategorized/disprove_caesar_rot.py	Uncategorized — needs manual review	unknown	216	disprove_caesar_rot.py — Exhaustive Caesar (ROT-N) disproof for K4.
_infra/dragnet_v4.py	Infrastructure, harnesses, validators, corpus tools	unknown	1212	DRAGNET v4 — Exhaustive Double Columnar + Single Columnar Gap Closure.
encoding/e01_morse_e_extraction.py	Morse code, encoding transforms, extraction patterns	unknown	466	E-01: Extract and analyze the extra E's in Kryptos Morse code (K0).
encoding/e02_misspelling_deltas.py	Morse code, encoding transforms, extraction patterns	unknown	369	E-02: Test misspelling substitution deltas as K4 cipher key material.
thematic/berlin_clock/e03_berlin_clock_sweep.py	Berlin clock, Weltzeituhr, and DDR-era keys	unknown	523	E-03: Berlin Clock sweep for K4.
substitution/e04_hill_cipher.py	Monoalphabetic, affine, Hill, bifid, trifid	unknown	566	E-04: Hill Cipher hypothesis for K4.
_uncategorized/e05_layer_two.py	Uncategorized — needs manual review	unknown	539	E-05: 'LAYER TWO' compound cipher tests for K4.
polyalphabetic/e06_autokey.py	Vigenère, Beaufort, autokey, and polyalphabetic	unknown	423	E-06: Autokey cipher test for K4.
substitution/e_affine_mono_disproof.py	Monoalphabetic, affine, Hill, bifid, trifid	unknown	414	(no description)
substitution/e_antipodes_01_hill_transposition.py	Monoalphabetic, affine, Hill, bifid, trifid	unknown	630	E-ANTIPODES-01: Hill Sublayer + Transposition
antipodes/e_antipodes_02_mono_fixed_running_key.py	Antipodes series — paired/complementary attacks	unknown	312	E-ANTIPODES-02: Fixed Mono + Transposition + Running Key Detection
k3_continuity/e_antipodes_03_k3k4_continuity.py	K1-K3 method applied to K4, cross-section analysis	unknown	387	E-ANTIPODES-03: K3→K4 Method Continuity
running_key/e_antipodes_04_sculpture_running_key.py	Running key and book cipher attacks	unknown	359	E-ANTIPODES-04: Running Key from Sculpture Text
antipodes/e_antipodes_05_gromark_vimark_trans.py	Antipodes series — paired/complementary attacks	unknown	435	E-ANTIPODES-05: Gromark/Vimark + Transposition
tableau/e_antipodes_06_tableau_path_key.py	Tableau, KA alphabet, and keyword analysis	unknown	482	E-ANTIPODES-06: Tableau Path as Running Key
yar/e_antipodes_07_yar_block_cipher.py	YAR family — grille reconstruction and variants	unknown	431	E-ANTIPODES-07: YAR-Parameterized Block Cipher
antipodes/e_antipodes_08_stream_context.py	Antipodes series — paired/complementary attacks	unknown	764	E-ANTIPODES-08: K4 in Antipodes Stream Context
antipodes/e_antipodes_09_layertwo_trim.py	Antipodes series — paired/complementary attacks	unknown	442	E-ANTIPODES-09: "LAYER TWO" as Instruction — Trimmed Stream
thematic/sculpture_physical/e_antipodes_10_coordinate_grid.py	Physical sculpture, installation, and coordinate keys	unknown	555	E-ANTIPODES-10: Coordinate Grid / Battleship Cipher
substitution/e_atbash_01_keyword_decrypt.py	Monoalphabetic, affine, Hill, bifid, trifid	unknown	514	E-ATBASH-01: Atbash hypothesis — the carved K4 is Atbash of the real CT.
substitution/e_atbash_02_statistics.py	Monoalphabetic, affine, Hill, bifid, trifid	unknown	423	E-ATBASH-02: Statistical analysis of Atbash-transformed K4 ciphertext.
substitution/e_atbash_03_crib_drag.py	Monoalphabetic, affine, Hill, bifid, trifid	unknown	698	E-ATBASH-03: Exhaustive crib-dragging on Atbash(K4) hypothesis.
crib_analysis/e_audit_01_crib_robustness.py	Crib dragging, plaintext reconstruction, constraint solving	unknown	446	E-AUDIT-01: Crib Robustness Audit for Non-Periodicity Proof.
transposition/other/e_audit_02_strip_stagger.py	Non-columnar transposition attacks	unknown	417	E-AUDIT-02: Unequal-Strip Stagger Cipher with Per-Strip Mixed Alphabets.
thematic/berlin_clock/e_audit_03_weltzeituhr_fsm.py	Berlin clock, Weltzeituhr, and DDR-era keys	unknown	481	E-AUDIT-03: Weltzeituhr-Driven Finite-State Cipher.
grille/e_audit_04_cardan_aperture.py	Grille, turning grille, and Cardan aperture attacks	unknown	478	E-AUDIT-04: Cardan-Style Aperture Extraction over Antipodes Field.
substitution/e_audit_05_hill_2x2_lyar.py	Monoalphabetic, affine, Hill, bifid, trifid	unknown	407	E-AUDIT-05: 2x2 Hill cipher using Extra L + YAR superscript anomalies.
transposition/other/e_audit_05_scytale_cylinder.py	Non-columnar transposition attacks	unknown	838	E-AUDIT-05: Scytale Cipher — The Antipodes IS a Cylinder.
tableau/e_audit_05_tableau_column_keys.py	Tableau, KA alphabet, and keyword analysis	unknown	444	E-AUDIT-05: Test Kryptos tableau columns as decryption keys for K4.
yar/e_audit_05_yar_init_params.py	YAR family — grille reconstruction and variants	unknown	698	E-AUDIT-05: Test YAR superscript values as cipher initialization parameters.
tableau/e_audit_06_k3_method_k4.py	Tableau, KA alphabet, and keyword analysis	unknown	739	E-AUDIT-06: K3's ACTUAL Method Applied to K4.
tableau/e_audit_07_k3_running_key.py	Tableau, KA alphabet, and keyword analysis	unknown	329	E-AUDIT-07: Exhaustive K3-as-running-key test for K4 decryption.
encoding/e_audit_08_delimiter_x_extraction.py	Morse code, encoding transforms, extraction patterns	unknown	528	E-AUDIT-08: X-Delimiter Extraction Experiment
polyalphabetic/e_autokey_bidir_extended.py	Vigenère, Beaufort, autokey, and polyalphabetic	unknown	335	Extended autokey bidirectional analysis: seed lengths 1-96, with detailed
polyalphabetic/e_autokey_bidirectional.py	Vigenère, Beaufort, autokey, and polyalphabetic	unknown	599	Autokey Vigenère bidirectional back-derivation from BERLINCLOCK crib.
polyalphabetic/e_autokey_bootstrap_00.py	Vigenère, Beaufort, autokey, and polyalphabetic	unknown	989	(no description)
polyalphabetic/e_autokey_bootstrap_01_crossval.py	Vigenère, Beaufort, autokey, and polyalphabetic	unknown	493	E-AUTOKEY-BOOTSTRAP-01: Proper Cross-Validation for All Primer Lengths
_uncategorized/e_bc_gap_analysis.py	Uncategorized — needs manual review	unknown	538	e_bc_gap_analysis.py  —  BC extension gap analysis (2026-03)
exploration/e_bespoke_01_misspelling_mods.py	Exploratory analysis, bespoke methods, chart series	unknown	667	E-BESPOKE-01: Test ciphertext modifications derived from Kryptos misspellings.
exploration/e_bespoke_02_abscissa_linear.py	Exploratory analysis, bespoke methods, chart series	unknown	648	(no description)
exploration/e_bespoke_03_shift_values.py	Exploratory analysis, bespoke methods, chart series	unknown	890	E-BESPOKE-03: Test misspelling-derived NUMERIC SHIFT VALUES as key material.
exploration/e_bespoke_04_t20_retest.py	Exploratory analysis, bespoke methods, chart series	unknown	1139	E-BESPOKE-04: Systematic T=20 retest (1-indexed alphabet: A=1, B=2, ... T=20).
exploration/e_bespoke_05_98chars.py	Exploratory analysis, bespoke methods, chart series	unknown	1018	E-BESPOKE-05: 98-character hypothesis — insert one char to make K4 grid-friendly.
exploration/e_bespoke_06_doubles_cc.py	Exploratory analysis, bespoke methods, chart series	unknown	1068	E-BESPOKE-06: Doubled-letter digraph analysis and CC insertion hypothesis.
exploration/e_bespoke_07_1indexed_params.py	Exploratory analysis, bespoke methods, chart series	unknown	1274	E-BESPOKE-07: Systematic 1-indexed parameter variants for YAR, RQ, EQUAL, DYAR.
exploration/e_bespoke_08_t_alphabet.py	Exploratory analysis, bespoke methods, chart series	unknown	1144	E-BESPOKE-08: T-first alphabet hypothesis — "T IS YOUR POSITION" = T=position 1.
exploration/e_bespoke_09_99chars_cc.py	Exploratory analysis, bespoke methods, chart series	unknown	769	E-BESPOKE-09: 99-character CC insertion hypothesis.
exploration/e_bespoke_10_rotation_grid.py	Exploratory analysis, bespoke methods, chart series	unknown	629	E-BESPOKE-10: K3-style physical rotation grid attack on K4.
tableau/e_bespoke_11_tableau_extraction.py	Tableau, KA alphabet, and keyword analysis	unknown	975	E-BESPOKE-11: Tableau-as-key-source via structured extraction.
exploration/e_bespoke_12_dryad_lookup.py	Exploratory analysis, bespoke methods, chart series	unknown	666	E-BESPOKE-12: 2D DRYAD lookup from K1/K2/K3 plaintext and ciphertext.
_uncategorized/e_card_cipher_h5_deep.py	Uncategorized — needs manual review	unknown	273	Deep dive into H5 (face-card markers) and H6 grid-9 result.
_uncategorized/e_card_cipher_tests.py	Uncategorized — needs manual review	unknown	1033	Card-based cipher hypothesis tests against K4.
cfm/e_cfm_00_drusilla_hypothesis.py	Cipher family modeling and constraint-based elimination	unknown	284	E-CFM-00: DRUSILLA Hypothesis — Webster family name as key material.
running_key/e_cfm_01_running_key_foreign.py	Running key and book cipher attacks	unknown	405	E-CFM-01: Foreign-language running key analysis.
running_key/e_cfm_02_mono_running_constrain.py	Running key and book cipher attacks	unknown	276	E-CFM-02: Mono + transposition + running key — DOF reduction.
cfm/e_cfm_03_null_extraction.py	Cipher family modeling and constraint-based elimination	unknown	218	E-CFM-03: Null cipher / steganographic extraction patterns.
substitution/e_cfm_04_homophonic_partition.py	Monoalphabetic, affine, Hill, bifid, trifid	unknown	194	E-CFM-04: Homophonic substitution partition analysis.
cfm/e_cfm_05_nomenclator_model.py	Cipher family modeling and constraint-based elimination	unknown	343	E-CFM-05: Nomenclator / code+cipher hybrid structural analysis.
cfm/e_cfm_06_east_constraint.py	Cipher family modeling and constraint-based elimination	unknown	408	E-CFM-06: EAST repetition constraint mining for running key identification.
k3_continuity/e_cfm_07_k3_rotational.py	K1-K3 method applied to K4, cross-section analysis	unknown	442	E-CFM-07: K3-style rotational transposition applied to K4.
cfm/e_cfm_08_trans_key_scoring.py	Cipher family modeling and constraint-based elimination	unknown	577	E-CFM-08: Transposition-guided running key fragment scoring.
cfm/e_cfm_09_gutenberg_east_scan.py	Cipher family modeling and constraint-based elimination	unknown	528	E-CFM-09: Gutenberg-scale EAST constraint scan.
cfm/e_cfm_10_medusa_rule.py	Cipher family modeling and constraint-based elimination	unknown	353	E-CFM-10: MEDUSA Rule — Cyrillic Projector key derivation applied to Kryptos.
cfm/e_cfm_11_anomaly_key_derivation.py	Cipher family modeling and constraint-based elimination	unknown	612	E-CFM-11: Systematic Anomaly-as-Key-Material.
running_key/e_chart_01_running_key.py	Running key and book cipher attacks	unknown	633	E-CHART-01: K1+K2+K3 plaintext as running key through KA tableau for K4.
polyalphabetic/e_chart_02_autokey.py	Vigenère, Beaufort, autokey, and polyalphabetic	unknown	628	E-CHART-02: Autokey Cipher Variants Through KA Tableau
tableau/e_chart_03_misspelling_tableau.py	Tableau, KA alphabet, and keyword analysis	unknown	853	E-CHART-03: Misspelling-Modified Tableau Variants for K4
tableau/e_chart_03b_reduced_misspelling.py	Tableau, KA alphabet, and keyword analysis	unknown	723	E-CHART-03b: Reduced Misspelling Set (4-pair) Tableau Variants for K4
exploration/e_chart_04_morse_pattern.py	Exploratory analysis, bespoke methods, chart series	unknown	945	E-CHART-04: K0 Morse E-group pattern as tableau row selector / key generator.
exploration/e_chart_05_antipodes_misspelling.py	Exploratory analysis, bespoke methods, chart series	unknown	775	E-CHART-05: Antipodes-Corrected Misspelling Tableau Modifications
exploration/e_chart_06_herbert.py	Exploratory analysis, bespoke methods, chart series	unknown	332	E-CHART-06: Test HERBERT and Carter-related primers.
exploration/e_chart_07_width9_cc.py	Exploratory analysis, bespoke methods, chart series	unknown	480	E-CHART-07: Width-9 grid with inserted characters (CC hypothesis).
statistical/e_chart_08_noise_analysis.py	Statistical analysis, frequency, IC, entropy	unknown	355	E-CHART-08: False positive rate analysis for w9 + 2-char insertion scores.
exploration/e_chart_09_boundary_sweep.py	Exploratory analysis, bespoke methods, chart series	unknown	567	E-CHART-09: Exhaustive boundary sweep — 2-letter insertions near BERLINCLOCK.
exploration/e_chart_10_w9_sub.py	Exploratory analysis, bespoke methods, chart series	unknown	674	E-CHART-10: W9 orderings + keyword substitution (deep dive).
exploration/e_chart_11_rotation.py	Exploratory analysis, bespoke methods, chart series	unknown	783	E-CHART-11: K3-style rotation-based transposition at various grid widths.
transposition/columnar/e_col_pure_exhaustive.py	Columnar transposition attacks	unknown	248	E-COL-PURE: Pure columnar transposition decryption, ALL widths 2-20.
transposition/columnar/e_columnar_gap_closure.py	Columnar transposition attacks	unknown	442	(no description)
exploration/e_compose_01_novel_pipelines.py	Exploratory analysis, bespoke methods, chart series	unknown	1011	(no description)
exploration/e_compose_02_extended.py	Exploratory analysis, bespoke methods, chart series	unknown	596	E-COMPOSE-02: Extended novel pipeline compositions — diagnostics + autokey.
